Year,Annual Average CPI(-U),Annual Percent Change,index,title,genre,budget,revenue,release_date,runtime,director,meta_mixed,meta_negative,meta_positive,metascore,user_mixed,user_negative,user_positive,userscore,release_year,Poster_URL
2009,214.5,-0.004,0,Avatar,Action,237000000,2787965087,12/10/2009,162,James Cameron,4,0,31,83,479,442,2304,7.5,2009,https://image.tmdb.org/t/p/w500/kyeqWdyUXW608qlYkRqosgbbJyK.jpg
2007,207.3,0.029,1,Pirates of the Caribbean: At World's End,Adventure,300000000,963420425,5/19/2007,169,Gore Verbinski,19,5,12,50,194,216,549,6.3,2007,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg
2012,229.6,0.021,3,The Dark Knight Rises,Action,250000000,1084939099,7/16/2012,165,Christopher Nolan,6,2,37,78,357,302,3483,8.2,2012,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg
2012,229.6,0.021,4,John Carter,Action,260000000,284139100,3/7/2012,132,Andrew Stanton,20,7,16,51,151,67,371,7,2012,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
2007,207.3,0.029,5,Spider-Man 3,Fantasy,258000000,890871626,5/1/2007,139,Sam Raimi,13,2,25,59,420,254,857,6.7,2007,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg
2010,218.1,0.016,6,Tangled,Animation,260000000,591794936,11/24/2010,100,Byron Howard,4,0,30,71,48,16,585,8.5,2010,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg
2009,214.5,-0.004,8,Harry Potter and the Half-Blood Prince,Adventure,250000000,933959197,7/7/2009,153,David Yates,5,0,31,78,217,138,814,7.2,2009,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
2016,240,0.013,9,Batman v Superman: Dawn of Justice,Action,250000000,873260194,3/23/2016,151,Zack Snyder,31,10,10,44,,,4100,7,2016,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg
2006,201.6,0.032,10,Superman Returns,Adventure,270000000,391081192,6/28/2006,154,Bryan Singer,11,0,29,72,222,302,728,6.5,2006,https://image.tmdb.org/t/p/w500/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg
2013,233,0.015,13,The Lone Ranger,Action,255000000,89289910,7/3/2013,149,Gore Verbinski,25,14,6,37,144,128,389,6.5,2013,https://image.tmdb.org/t/p/w500/xRmsqvHnaWmrazJl9bTBqs4LAjp.jpg
